enumeration_strategy,unseen_test_data_type,model_template_name,evaluation_metric,test_template_name,50percentile,95percentile,99percentile
rulebased,Random Test Data,template1+2+3,latency,testE-5wayjoin,1.79429847,11.05541968,56.09639759
rulebased,Random Test Data,template1+2+3,latency,testE-6wayjoin,1.532628059,5.084730482,7.206858816
rulebased,Random Test Data,template1+2+3,latency,testE-twoFilters,1.487538159,4.593521237,6.432506814
rulebased,Random Test Data,template1+2+3,latency,testE-threeFilters,1.666772008,4.239191723,5.241525078
rulebased,Random Test Data,template1+2+3,latency,testE-fourFilters,5.935912609,31.37420959,54.93345909
rulebased,Random Test Data,template1+2+3,latency,aligned_all_test_data,5.010313511,27.75685768,81.46384926
rulebased,Random Test Data,template1+2+3,throughput,testE-4wayjoin,5.901039124,43.65973206,80.27330505
rulebased,Random Test Data,template1+2+3,throughput,testE-5wayjoin,2.5683707,29.89380827,83.52539421
rulebased,Random Test Data,template1+2+3,throughput,testE-6wayjoin,1.999274671,20.49147491,86.57071808
rulebased,Random Test Data,template1+2+3,throughput,testE-twoFilters,2.568191528,29.54092493,69.32177467
rulebased,Random Test Data,template1+2+3,throughput,testE-threeFilters,2.626781464,34.12801476,81.37011398
rulebased,Random Test Data,template1+2+3,throughput,testE-fourFilters,3.041372657,52.24452248,179.2176785
rulebased,Random Test Data,template1+2+3,throughput,aligned_all_test_data,2.890779018,17.54124184,49.75830643
rulebased,Rule Test Data,template1,latency,testE-twoFilters,3.316993952,35.33774185,93.76197403
rulebased,Rule Test Data,template1,latency,testE-threeFilters,2.684679866,32.40567169,103.0655297
rulebased,Rule Test Data,template1,latency,testE-fourFilters,1.442157149,3.987826645,7.171163735
rulebased,Rule Test Data,template1,throughput,testE-twoFilters,1.558252037,5.235854435,7.833817286
rulebased,Rule Test Data,template1,throughput,testE-threeFilters,2.059370995,6.33825655,7.548236141
rulebased,Rule Test Data,template1,throughput,testE-fourFilters,1.384080708,7.195785189,17.43218607
rulebased,Rule Test Data,template2,latency,testE-4wayjoin,1.438786328,6.247586584,20.48862631
rulebased,Rule Test Data,template2,latency,testE-5wayjoin,1.392081857,12.46072273,26.68741409
rulebased,Rule Test Data,template2,latency,testE-6wayjoin,1.587934017,7.0432688,16.19704578
rulebased,Rule Test Data,template2,latency,testE-twoFilters,2.172243118,28.86265011,115.3975885
rulebased,Rule Test Data,template2,latency,testE-threeFilters,3.897968054,35.9355854,141.4103799
rulebased,Rule Test Data,template2,latency,testE-fourFilters,5.558506966,62.38445206,146.7012833
rulebased,Rule Test Data,template2,latency,aligned_all_test_data,1.615232825,26.4488616,59.7419096
rulebased,Rule Test Data,template2,throughput,testE-4wayjoin,1.815531194,16.87020011,52.14087147
rulebased,Rule Test Data,template2,throughput,testE-5wayjoin,1.963055968,34.14641857,95.18963364
rulebased,Rule Test Data,template2,throughput,testE-6wayjoin,2.301311851,38.29477406,137.6939836
rulebased,Rule Test Data,template2,throughput,testE-twoFilters,1.309368372,3.722530723,6.108572769
rulebased,Rule Test Data,template2,throughput,testE-threeFilters,1.329006433,3.241526926,5.263798261
rulebased,Rule Test Data,template2,throughput,testE-fourFilters,1.418674767,3.692069113,5.204621749
rulebased,Rule Test Data,template2,throughput,aligned_all_test_data,1.286531806,4.351867771,10.49800217
rulebased,Rule Test Data,template3,latency,testE-4wayjoin,1.344006896,4.397817135,9.641781902
rulebased,Rule Test Data,template3,latency,testE-5wayjoin,1.34451431,5.067680311,21.0734984
rulebased,Rule Test Data,template3,latency,testE-6wayjoin,1.322659075,4.089048505,9.232179594
rulebased,Rule Test Data,template3,latency,testE-twoFilters,1.875534177,9.379908085,41.83085632
rulebased,Rule Test Data,template3,latency,testE-threeFilters,2.115212321,15.3341948,56.45777584
rulebased,Rule Test Data,template3,latency,testE-fourFilters,2.473578811,14.27001953,55.39372448
rulebased,Rule Test Data,template3,latency,aligned_all_test_data,1.732755303,8.75397625,59.77963242
rulebased,Rule Test Data,template3,throughput,testE-4wayjoin,2.010874271,9.599972963,34.03700581
rulebased,Rule Test Data,template3,throughput,testE-5wayjoin,2.095679998,10.64859033,111.5928909
rulebased,Rule Test Data,template3,throughput,testE-6wayjoin,1.79429847,11.05541968,56.09639759
rulebased,Rule Test Data,template3,throughput,testE-twoFilters,3.041372657,52.24452248,179.2176785
rulebased,Rule Test Data,template3,throughput,testE-threeFilters,2.890779018,17.54124184,49.75830643
rulebased,Rule Test Data,template3,throughput,testE-fourFilters,3.316993952,35.33774185,93.76197403
rulebased,Rule Test Data,template3,throughput,aligned_all_test_data,2.684679866,32.40567169,103.0655297
rulebased,Rule Test Data,template1+2+3,latency,testE-4wayjoin,1.442157149,3.987826645,7.171163735
rulebased,Rule Test Data,template1+2+3,latency,testE-5wayjoin,1.558252037,5.235854435,7.833817286
rulebased,Rule Test Data,template1+2+3,latency,testE-6wayjoin,2.059370995,6.33825655,7.548236141
rulebased,Rule Test Data,template1+2+3,latency,testE-twoFilters,1.384080708,7.195785189,17.43218607
rulebased,Rule Test Data,template1+2+3,latency,testE-threeFilters,1.438786328,6.247586584,20.48862631
rulebased,Rule Test Data,template1+2+3,latency,testE-fourFilters,1.392081857,12.46072273,26.68741409
rulebased,Rule Test Data,template1+2+3,latency,aligned_all_test_data,1.587934017,7.0432688,16.19704578
rulebased,Rule Test Data,template1+2+3,throughput,testE-4wayjoin,2.172243118,28.86265011,115.3975885
rulebased,Rule Test Data,template1+2+3,throughput,testE-5wayjoin,3.897968054,35.9355854,141.4103799
rulebased,Rule Test Data,template1+2+3,throughput,testE-6wayjoin,5.558506966,62.38445206,146.7012833
rulebased,Rule Test Data,template1+2+3,throughput,testE-twoFilters,1.615232825,26.4488616,59.7419096
rulebased,Rule Test Data,template1+2+3,throughput,testE-threeFilters,1.815531194,16.87020011,52.14087147
rulebased,Rule Test Data,template1+2+3,throughput,testE-fourFilters,1.963055968,34.14641857,95.18963364
rulebased,Rule Test Data,template1+2+3,throughput,aligned_all_test_data,2.301311851,38.29477406,137.6939836
